UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 22:12 ?        00:00:01 /sbin/init
root           2       0  0 22:12 ?        00:00:00 [kthreadd]
root           3       2  0 22:12 ?        00:00:00 [rcu_gp]
root           4       2  0 22:12 ?        00:00:00 [rcu_par_gp]
root           5       2  0 22:12 ?        00:00:00 [slub_flushwq]
root           6       2  0 22:12 ?        00:00:00 [netns]
root           8       2  0 22:12 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 22:12 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 22:12 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 22:12 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 22:12 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 22:12 ?        00:00:01 [rcu_sched]
root          15       2  0 22:12 ?        00:00:00 [migration/0]
root          16       2  0 22:12 ?        00:00:00 [idle_inject/0]
root          18       2  0 22:12 ?        00:00:00 [cpuhp/0]
root          19       2  0 22:12 ?        00:00:00 [cpuhp/1]
root          20       2  0 22:12 ?        00:00:00 [idle_inject/1]
root          21       2  0 22:12 ?        00:00:00 [migration/1]
root          22       2  0 22:12 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 22:12 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 22:12 ?        00:00:00 [cpuhp/2]
root          26       2  0 22:12 ?        00:00:00 [idle_inject/2]
root          27       2  0 22:12 ?        00:00:00 [migration/2]
root          28       2  0 22:12 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 22:12 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 22:12 ?        00:00:00 [cpuhp/3]
root          32       2  0 22:12 ?        00:00:00 [idle_inject/3]
root          33       2  0 22:12 ?        00:00:00 [migration/3]
root          34       2  0 22:12 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 22:12 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 22:12 ?        00:00:00 [kdevtmpfs]
root          38       2  0 22:12 ?        00:00:00 [inet_frag_wq]
root          41       2  0 22:12 ?        00:00:00 [kworker/3:1-events]
root          42       2  0 22:12 ?        00:00:00 [kauditd]
root          43       2  0 22:12 ?        00:00:00 [khungtaskd]
root          44       2  0 22:12 ?        00:00:00 [oom_reaper]
root          45       2  0 22:12 ?        00:00:00 [writeback]
root          46       2  0 22:12 ?        00:00:00 [kcompactd0]
root          47       2  0 22:12 ?        00:00:00 [ksmd]
root          48       2  0 22:12 ?        00:00:00 [khugepaged]
root          94       2  0 22:12 ?        00:00:00 [kintegrityd]
root          95       2  0 22:12 ?        00:00:00 [kblockd]
root          96       2  0 22:12 ?        00:00:00 [blkcg_punt_bio]
root          97       2  0 22:12 ?        00:00:00 [tpm_dev_wq]
root          98       2  0 22:12 ?        00:00:00 [ata_sff]
root          99       2  0 22:12 ?        00:00:00 [md]
root         100       2  0 22:12 ?        00:00:00 [edac-poller]
root         101       2  0 22:12 ?        00:00:00 [devfreq_wq]
root         102       2  0 22:12 ?        00:00:00 [watchdogd]
root         104       2  0 22:12 ?        00:00:00 [kworker/1:1H-kblockd]
root         105       2  0 22:12 ?        00:00:00 [kswapd0]
root         106       2  0 22:12 ?        00:00:00 [ecryptfs-kthrea]
root         108       2  0 22:12 ?        00:00:00 [kthrotld]
root         109       2  0 22:12 ?        00:00:00 [irq/49-ACPI:Ged]
root         110       2  0 22:12 ?        00:00:00 [acpi_thermal_pm]
root         112       2  0 22:12 ?        00:00:00 [mld]
root         113       2  0 22:12 ?        00:00:00 [ipv6_addrconf]
root         122       2  0 22:12 ?        00:00:00 [kstrp]
root         125       2  0 22:12 ?        00:00:00 [zswap-shrink]
root         126       2  0 22:12 ?        00:00:00 [kworker/u9:0]
root         130       2  0 22:12 ?        00:00:00 [cryptd]
root         169       2  0 22:12 ?        00:00:00 [charger_manager]
root         191       2  0 22:12 ?        00:00:00 [kworker/3:1H-kblockd]
root         218       2  0 22:12 ?        00:00:00 [kworker/2:1H-kblockd]
root         232       2  0 22:12 ?        00:00:00 [kworker/0:1H-kblockd]
root         277       2  0 22:12 ?        00:00:00 [kdmflush]
root         307       2  0 22:12 ?        00:00:00 [raid5wq]
root         365       2  0 22:12 ?        00:00:00 [jbd2/dm-0-8]
root         366       2  0 22:12 ?        00:00:00 [ext4-rsv-conver]
root         402       2  0 22:12 ?        00:00:00 [hwrng]
root         444       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-journald
root         480       2  0 22:12 ?        00:00:00 [kaluad]
root         481       2  0 22:12 ?        00:00:00 [kmpath_rdacd]
root         482       2  0 22:12 ?        00:00:00 [kmpathd]
root         483       2  0 22:12 ?        00:00:00 [kmpath_handlerd]
root         484       1  0 22:12 ?        00:00:00 /sbin/multipathd -d -s
root         507       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-udevd
root         603       2  0 22:12 ?        00:00:00 [kworker/u8:4-events_unbound]
root         604       2  0 22:12 ?        00:00:00 [kworker/u8:5-events_power_efficient]
root         606       2  0 22:12 ?        00:00:00 [kworker/u8:6-flush-253:0]
root         623       2  0 22:12 ?        00:00:00 [scsi_eh_0]
root         625       2  0 22:12 ?        00:00:00 [scsi_tmf_0]
root         630       2  0 22:12 ?        00:00:00 [usb-storage]
root         639       2  0 22:12 ?        00:00:00 [uas]
root         685       2  0 22:12 ?        00:00:00 [kworker/3:3-cgroup_destroy]
root         702       2  0 22:12 ?        00:00:00 [jbd2/vda2-8]
root         703       2  0 22:12 ?        00:00:00 [ext4-rsv-conver]
systemd+     747       1  0 22:12 ?        00:00:02 /lib/systemd/systemd-oomd
systemd+     748       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     836       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     838       1  0 22:12 ?        00:00:00 /lib/systemd/systemd-resolved
avahi        860       1  0 22:12 ?        00:00:00 avahi-daemon: running [cy2550.local]
message+     861       1  0 22:12 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         862       1  0 22:12 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         867       1  0 22:12 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         868       1  0 22:12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
